WordCounter 1Nephi.txt
Come => 1
Bethabara => 1
Believest => 1
Because => 1
As => 1
Arise => 1
Also => 1
All => 1
After => 1
Adam => 1

WordCounter harry_potter_book_1.txt
the => 3315
to => 1851
and => 1812
a => 1581
of => 1250
Harry => 1213
was => 1178
he => 1034
in => 935
his => 896
it => 805
said => 793
you => 736
had => 697
I => 654
on => 619
that => 582
at => 581
him => 495
He => 494
as => 484
they => 433
Ron => 410
with => 403
but => 375
up => 362
out => 362
be => 362
for => 349
all => 349
Hagrid => 336
were => 329
them => 324
The => 297
have => 288
back => 258
Hermione => 257
what => 245
from => 233
one => 231
It => 222
into => 219
about => 216
me => 215
been => 211
not => 206
this => 205
their => 204
there => 202
an => 201
off => 199
if => 198
didnt => 190
like => 189
could => 187
so => 186
know => 186
got => 186
get => 183
Professor => 181
down => 180
her => 176
she => 171
its => 170
looked => 169
over => 168
is => 165
They => 164
see => 162
very => 161
just => 161
do => 150
who => 149
Snape => 145
You => 144
by => 143
around => 141
when => 140
Dumbledore => 140
are => 136
your => 134
no => 134
going => 134
now => 124
think => 121
Im => 121
time => 119
through => 119
something => 118
then => 117
hed => 117
go => 116
we => 115
Dudley => 115
Harrys => 113
right => 112
dont => 112
never => 111
Uncle => 111
But => 110
And => 110
A => 110
here => 109
Malfoy => 109
more => 107
looking => 107
first => 107
door => 105
Vernon => 105
would => 104
eyes => 104
couldnt => 103
Neville => 102
only => 101
look => 101
before => 101
again => 101
too => 98
What => 97
or => 96
head => 96
Potter => 95
McGonagall => 95
yeh => 94
thought => 94
way => 93
than => 93
face => 93
how => 91
did => 91
told => 90
room => 90
even => 90
Quirrell => 90
still => 88
other => 88
next => 88
though => 86
will => 85
my => 85
which => 84
last => 84
because => 84
where => 82
people => 82
left => 82
boy => 82
us => 81
Gryffindor => 81
two => 80
Mr => 80
ter => 78
turned => 77
Hogwarts => 76
well => 75
wasnt => 75
heard => 75
came => 75
Ive => 75
much => 74
house => 74
behind => 74
some => 72
seemed => 72
say => 72
come => 72
can => 72
went => 71
toward => 71
long => 71
really => 70
away => 70
anything => 70
want => 69
hand => 69
good => 69
found => 68
once => 67
little => 67
There => 67
tell => 66
suddenly => 66
made => 66
Well => 66
himself => 65
bit => 65
three => 64
Its => 64
wand => 63
trying => 63
school => 63
tried => 62
took => 62
saw => 62
knew => 62
any => 61
Oh => 61
No => 61
take => 60
voice => 59
day => 59
asked => 59
Quidditch => 59
put => 58
old => 58
ever => 58
She => 58
Petunia => 58
cloak => 57
open => 56
let => 56
few => 55
cant => 55
must => 54
inside => 54
black => 54
